567 [47,91] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,96] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,109] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,110] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,122] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,124] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,125] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,127] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,138] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,141] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,168] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,169] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,171] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,178] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,192] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,198] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,200] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,260] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
567 [47,301] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
567 [47,302] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,310] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,324] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,342] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
584 [48,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
595 [49,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
595 [49,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
595 [49,166] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
595 [49,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
613 [50,198] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
622 [51,17] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
622 [51,30] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
622 [51,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
622 [51,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
622 [51,310] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
651 [52,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
686 [53,2] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
686 [53,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
686 [53,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
686 [53,178] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
686 [53,198] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
686 [53,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
693 [55,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
702 [56,30] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
702 [56,41] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
702 [56,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
702 [56,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
702 [56,92] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
702 [56,130] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
702 [56,309] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
702 [56,310] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
744 [58,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
822 [59,23] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
822 [59,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
822 [59,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
822 [59,160] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,12] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,13] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,15] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,23] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,66] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,98] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,101] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,150] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,160] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,167] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,176] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
836 [60,214] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
836 [60,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
838 [61,35] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
838 [61,36] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
838 [61,50] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
838 [61,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
838 [61,99] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
838 [61,141] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
838 [61,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
838 [61,310] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
899 [64,2] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
899 [64,50] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
899 [64,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
899 [64,141] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
899 [64,142] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
899 [64,143] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
899 [64,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
912 [65,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
912 [65,193] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
927 [66,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
941 [68,12] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
941 [68,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
941 [68,214] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
941 [68,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,8] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,23] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,98] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,144] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,145] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,148] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,166] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,167] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,168] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,169] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,173] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,178] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,186] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
945 [69,239] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
956 [70,25] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
956 [70,50] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
956 [70,87] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
956 [70,148] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
956 [70,157] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
956 [70,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
986 [72,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
986 [72,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1000 [73,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1000 [73,193] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,7] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,8] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,21] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,25] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,48] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,50] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,143] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,145] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,147] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,169] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,186] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,239] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,305] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
1024 [75,309] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1024 [75,316] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1035 [76,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1035 [76,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1035 [76,130] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1035 [76,133] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1035 [76,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1047 [77,12] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1047 [77,13] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1047 [77,22] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1047 [77,23] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1047 [77,66] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
1047 [77,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
